#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-1531108.625,311.63112139127514
2000,-1594482.25,310.4308277594198
3000,-1608322.125,310.4682954701353
4000,-1613129.375,311.0303141454924
5000,-1611316.25,310.9026550501829
6000,-1611566.75,309.75033745851715
7000,-1615442.625,308.8867748570851
8000,-1617347.625,308.8968995070846
9000,-1617802.75,309.095412921906
10000,-1614253.75,309.920882399188
